Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type
Global Skills Development Report,Yes,No,"A, E, B, C, D, P"
.NET Framework 4.5,Yes,Yes,K
.NET MVC (New),Yes,No,K
.NET MVVM (New),Yes,No,K
.NET WCF (New),Yes,No,K
.NET WPF (New),Yes,No,K
.NET XAML (New),Yes,No,K
Accounts Payable (New),Yes,No,K
Accounts Payable Simulation (New),Yes,No,S
Accounts Receivable (New),Yes,No,K
Accounts Receivable Simulation (New),Yes,No,S
ADO.NET (New),Yes,No,K
Adobe Experience Manager (New),Yes,No,K
Adobe Photoshop CC,Yes,Yes,K
Aeronautical Engineering (New),Yes,No,K
Aerospace Engineering (New),Yes,No,K
Agile Software Development,Yes,No,K
Agile Testing (New),Yes,No,K
AI Skills,Yes,No,P
Amazon Web Services (AWS) Development (New),Yes,No,K
Android Development (New),Yes,No,K
Angular 6 (New),Yes,No,K
AngularJS (New),Yes,No,K
Apache Hadoop (New),Yes,No,K
Apache Hadoop Extensions (New),Yes,No,K
Apache HBase (New),Yes,No,K
Apache Hive (New),Yes,No,K
Apache Kafka (New),Yes,No,K
Apache Pig (New),Yes,No,K
Apache Spark (New),Yes,No,K
ASP .NET with C# (New),Yes,No,K
ASP.NET 4.5,Yes,Yes,K
Assessment and Development Center Exercises,Yes,No,E
Automata - Fix (New),Yes,No,S
Automata - SQL (New),Yes,No,S
Automata (New),Yes,No,S
Automata Data Science (New),Yes,No,S
Automata Data Science Pro (New),Yes,No,S
Automata Front End,Yes,No,S
Automata Pro (New),Yes,No,S
Automata Selenium,Yes,No,S
Automation Anywhere RPA Development (New),Yes,No,K
Automotive Engineering (New),Yes,No,K
Basic Biology (New),Yes,No,K
Basic Computer Literacy (Windows 10) (New),Yes,No,"S, K"
Basic Statistics (New),Yes,No,K
Biochemistry (New),Yes,No,K
Biotech Lab Techniques (New),Yes,No,K
BizTalk (New),Yes,No,K
Business Communication (adaptive),Yes,Yes,K
Business Communications,Yes,No,K
C Programming (New),Yes,No,K
C# Programming (New),Yes,No,K
C++ Programming (New),Yes,No,K
Cardiology and Diabetes Management (New),Yes,No,K
Ceramic Engineering (New),Yes,No,K
Chemical Engineering (New),Yes,No,K
Cisco AppDynamics (New),Yes,No,K
Civil Engineering (New),Yes,No,K
Cloud Computing (New),Yes,No,K
COBOL Programming (New),Yes,No,K
Computer Science (New),Yes,No,K
Contact Center Call Simulation (New),Yes,No,S
Conversational Multichat Simulation,Yes,No,S
Core Java (Advanced Level) (New),Yes,No,K
Core Java (Entry Level) (New),Yes,No,K
Count Out The Money,Yes,Yes,"K, S"
CSS3 (New),Yes,No,K
Culinary Skills (New),Yes,No,K
Customer Service Phone Simulation,Yes,No,"B, S"
Customer Service Phone Solution,Yes,No,"B, P, S"
Cyber Risk (New),Yes,No,K
Data Entry (New),Yes,No,S
Data Entry Alphanumeric Split Screen - US,Yes,No,K
Data Entry Numeric Split Screen - US,Yes,No,K
Data Entry Ten Key Split Screen,Yes,No,K
Data Science (New),Yes,No,K
Data Warehousing Concepts,Yes,Yes,K
Dependability and Safety Instrument (DSI),Yes,No,P
Dermatology (New),Yes,No,K
Desktop Support (New),Yes,No,K
Digital Advertising (New),Yes,No,K
Digital Readiness Development Report - IC,Yes,No,P
Digital Readiness Development Report - Manager,Yes,No,P
Docker (New),Yes,No,K
Dojo (New),Yes,No,K
Drupal (New),Yes,No,K
DSI v1.1 Interpretation Report,Yes,No,P
Econometrics (New),Yes,No,K
Economics (New),Yes,No,K
Electrical and Electronics Engineering (New),Yes,No,K
Electrical Engineering (New),Yes,No,K
Electronics & Telecommunications Engineering (New),Yes,No,K
Electronics and Embedded Systems Engineering (New),Yes,No,K
Electronics and Semiconductor Engineering (New),Yes,No,K
English Comprehension (New),Yes,No,K
Enterprise Java Beans (New),Yes,No,K
Enterprise Leadership Report 1.0,Yes,No,P
Enterprise Leadership Report 2.0,Yes,No,P
Entry Level Cashier Solution,Yes,No,"C, P"
Entry Level Customer Serv-Retail & Contact Center,Yes,No,"P, C"
Entry Level Customer Service (General) Solution,Yes,No,"C, P"
Entry Level Hotel Front Desk Solution,Yes,No,"C, P"
Entry Level Sales Solution,Yes,No,"C, P"
Entry Level Technical Support Solution,Yes,No,"P, C"
ETL Testing (New),Yes,No,K
Executive Scenarios,Yes,No,B
Executive Scenarios Narrative Report,Yes,No,B
Executive Scenarios Profile Report,Yes,No,B
ExpressJS (New),Yes,No,K
Filing - Names (R1),Yes,No,K
Filing - Numbers,Yes,No,K
Financial Accounting (New),Yes,No,K
Financial and Banking Services (New),Yes,No,K
Fire Engineering (New),Yes,No,K
Following Instructions v1 - UK (R1),Yes,No,K
Following Instructions v1 - US (R2),Yes,No,K
Food and Beverage Services (New),Yes,No,K
Food Science (New),Yes,No,K
Front Office Management (New),Yes,No,K
Fundamentals of Chemistry (New),Yes,No,K
Fundamentals of Physics (New),Yes,No,K
General Diseases (New),Yes,No,K
Geoinformatics Engineering (New),Yes,No,K
Geoscience Engineering (New),Yes,No,K
GIT (New),Yes,No,K
Global Skills Assessment,Yes,No,"C, K"
Graduate Scenarios,Yes,No,B
Graduate Scenarios Narrative Report,Yes,No,B
Graduate Scenarios Profile Report,Yes,No,B
Hibernate (New),Yes,No,K
HIPAA (Security),Yes,Yes,K
HiPo Assessment Report 1.0,Yes,No,"C, P"
HiPo Assessment Report 2.0,Yes,No,"C, P"
HiPo Unlocking Potential Report 2.0,Yes,No,C
Housekeeping (New),Yes,No,K
HTML/CSS (New),Yes,No,K
HTML5 (New),Yes,No,K
Human Resources (New),Yes,No,K
IBM DataStage (New),Yes,No,K
IBM Sterling Order Management System (New),Yes,No,K
Industrial Engineering (New),Yes,No,K
Informatica (Architecture) (New),Yes,No,K
Informatica (Developer) (New),Yes,No,K
Instrumentation Engineering (New),Yes,No,K
Interpersonal Communications,Yes,Yes,K
Interviewing and Hiring Concepts (U.S.),Yes,Yes,K
iOS Development (New),Yes,No,K
ITIL (IT Infrastructure Library) (New),Yes,No,K
Java 2 Platform Enterprise Edition 1.4 Fundamental,Yes,Yes,K
Java 8 (New),Yes,No,K
Java Design Patterns (New),Yes,No,K
Java Frameworks (New),Yes,No,K
Java Platform Enterprise Edition 7 (Java EE 7),Yes,Yes,K
Java Web Services (New),Yes,No,K
JavaScript (New),Yes,No,K
Jenkins (New),Yes,No,K
Job Control Language (New),Yes,No,K
jQuery (New),Yes,No,K
Kubernetes (New),Yes,No,K
Linux Administration (New),Yes,No,K
Linux Operating System,Yes,No,K
Linux Programming (General),Yes,Yes,K
Load Runner (New),Yes,No,K
Management Scenarios,Yes,No,B
Managerial Scenarios Candidate Report,Yes,No,B
Managerial Scenarios Narrative Report,Yes,No,B
Managerial Scenarios Profile Report,Yes,No,B
Manual Testing (New),Yes,No,K
Manufac. & Indust. - Mechanical & Vigilance 8.0,Yes,No,"A, P"
Manufac. & Indust. - Safety & Dependability 8.0,Yes,No,P
Manufacturing & Industrial - Essential Focus 8.0,Yes,No,"A, P"
Manufacturing & Industrial - Mechanical Focus 8.0,Yes,No,"A, P"
Manufacturing & Industrial - Vigilance Focus 8.0,Yes,No,K
Marketing (New),Yes,No,K
Maven (New),Yes,No,K
Mechanical Engineering (New),Yes,No,K
Mechatronics Engineering (New),Yes,No,K
Medical Terminology (New),Yes,No,K
Metallurgical Engineering (New),Yes,No,K
MFS 360 Enterprise Leadership Report,Yes,No,D
MFS 360 UCF Group Report,Yes,No,D
MFS 360 UCF Performance Potential Dev Tips Report,Yes,No,D
MFS 360 UCF Standard Report,Yes,No,D
Micro Focus Unified Functional Testing (New),Yes,No,K
Microservices (New),Yes,No,K
Microsoft Dynamics Development (New),Yes,No,K
Microsoft Excel 365 - Essentials (New),Yes,No,"K, S"
Microsoft Excel 365 (New),Yes,No,"K, S"
Microsoft Outlook 2013 (adaptive),Yes,Yes,K
Microsoft PowerPoint 365 - Essentials (New),Yes,No,"K, S"
Microsoft SQL Server 2014 Programming,Yes,Yes,K
Microsoft Windows Server 2012 Administration,Yes,Yes,K
Microsoft Word 365 - Essentials (New),Yes,No,"K, S"
Microsoft Word 365 (New),Yes,No,"S, K"
Mineral Engineering (New),Yes,No,K
Mining Engineering (New),Yes,No,K
Mobility (New),Yes,No,K
Molecular Biology (New),Yes,No,K
MongoDB (New),Yes,No,K
Motivation Questionnaire MQM5,Yes,No,P
MQ Candidate Motivation Report,Yes,No,P
MQ Employee Motivation Report,Yes,No,P
MQ Motivation Report Pack,Yes,No,P
MQ Profile,Yes,No,P
MS Access (New),Yes,No,K
MS Excel (New),Yes,No,K
MS Office Basic Computer Literacy (New),Yes,No,K
MS Office Basic Computer Literacy (Sim) (New),Yes,No,S
MS PowerPoint (New),Yes,No,K
MS Word (New),Yes,No,K
MuleSoft Development (New),Yes,No,K
Multitasking Ability,Yes,No,"A, K, S"
Networking and Implementation (New),Yes,No,K
Node.js (New),Yes,No,K
Nursing (New),Yes,No,K
Occupational Personality Questionnaire OPQ32r,Yes,No,P
Operations Management (New),Yes,No,K
OPQ Candidate Plus Report,Yes,No,P
OPQ Candidate Report 2.0,Yes,No,P
OPQ Emotional Intelligence Report,Yes,No,P
OPQ Leadership Report,Yes,No,P
OPQ Manager Plus Report,Yes,No,P
OPQ Manager Plus Report 2.0,Yes,No,P
OPQ Maximising your Learning Report,Yes,No,P
OPQ MQ Sales Report,Yes,No,P
OPQ Premium Plus Report,Yes,No,P
OPQ Premium Plus Report 2.0,Yes,No,P
OPQ Profile Report,Yes,No,P
OPQ Team Impact Group Development Report,Yes,No,P
OPQ Team Impact Individual Development Report,Yes,No,P
OPQ Team Impact Selection Report,Yes,No,P
OPQ Team Types & Leadership Styles Profile,Yes,No,P
OPQ Team Types and Leadership Styles Report,Yes,No,P
OPQ UCF Development Action Planner Report 1.0,Yes,No,P
OPQ UCF Development Action Planner Report 2.0,Yes,No,P
OPQ Universal Competency Report 1.0,Yes,No,P
OPQ Universal Competency Report 2.0,Yes,No,P
OPQ User and Managers Report,Yes,No,P
OPQ User Report,Yes,No,"P, S"
Oracle DBA (Advanced Level) (New),Yes,No,K
Oracle DBA (Entry Level) (New),Yes,No,K
Oracle PL/SQL (New),Yes,No,K
Oracle WebLogic Server (New),Yes,No,K
Organic Chemistry (New),Yes,No,K
Paint Technology (New),Yes,No,K
Pediatrics (New),Yes,No,K
Pega Development (New),Yes,No,K
Perl (New),Yes,No,K
Petrochemical Engineering (New),Yes,No,K
Petroleum Engineering (New),Yes,No,K
Pharmaceutical Analysis (New),Yes,No,K
Pharmaceutical Chemistry (New),Yes,No,K
Pharmaceutical Science (New),Yes,No,K
Pharmaceutics (New),Yes,No,K
Pharmacology (New),Yes,No,K
PHP (New),Yes,No,K
PJM Development Report,Yes,No,"C, A, P"
PJM Selection Report,Yes,No,"A, C, P"
Polymer Engineering (New),Yes,No,K
Power Electronics and Drives (New),Yes,No,K
Power System Engineering (New),Yes,No,K
Prism (New),Yes,No,K
Production and Industrial Engineering (New),Yes,No,K
Production Engineering (New),Yes,No,K
Programming Concepts,Yes,Yes,K
Project Management (2013),Yes,Yes,K
Proofreading v1,Yes,No,K
Python (New),Yes,No,K
R Programming (New),Yes,No,K
ReactJS (New),Yes,No,K
Reading Comprehension - English v1,Yes,Yes,A
Reading Comprehension - Spanish v1,Yes,Yes,A
Reading Comprehension v2,Yes,Yes,A
RemoteWorkQ,Yes,No,C
RemoteWorkQ Manager Report,Yes,No,C
RemoteWorkQ Participant Report,Yes,No,C
RESTful Web Services (New),Yes,No,K
Retail Sales and Service Simulation,Yes,No,"B, K, S, A"
Reviewing Forms - US (R1),Yes,No,K
Ruby (New),Yes,No,K
Ruby on Rails (New),Yes,No,K
Sales & Service Phone Simulation,Yes,No,"S, B"
Sales & Service Phone Solution,Yes,No,"B, P, S"
Sales Interview Guide,Yes,No,"P, P"
Sales Profiler Cards,Yes,No,P
Sales Transformation 1.0 - Individual Contributor,Yes,No,P
Sales Transformation 2.0 - Individual Contributor,Yes,No,P
Sales Transformation Report 1.0 - Sales Manager,Yes,No,P
Sales Transformation Report 2.0 - Sales Manager,Yes,No,P
Salesforce Development (New),Yes,No,K
SAP ABAP (Advanced Level) (New),Yes,No,K
SAP ABAP (Intermediate Level) (New),Yes,No,K
SAP Basis (New),Yes,No,K
SAP Business Objects WebI (New),Yes,No,K
SAP BW (Business Warehouse) (New),Yes,No,K
SAP HCM (Human Capital Management) (New),Yes,No,K
SAP Hybris (New),Yes,No,K
SAP Materials Management (New),Yes,No,K
SAP SD (Sales and Distribution) (New),Yes,No,K
Search Engine Optimization (New),Yes,No,K
Selenium (New),Yes,No,K
Shell Scripting (New),Yes,No,K
SHL Verify Interactive - Inductive Reasoning,Yes,Yes,"A, S"
SHL Verify Interactive – Deductive Reasoning,Yes,Yes,"A, S"
SHL Verify Interactive – Numerical Reasoning,Yes,Yes,"A, S"
SHL Verify Interactive G+,Yes,Yes,A
SHL Verify Interactive Numerical Calculation,Yes,Yes,A
Siebel Development (New),Yes,No,K
Smart Interview Live,Yes,No,P
Smart Interview Live Coding,Yes,No,K
Smart Interview On Demand,Yes,No,P
Social Media (New),Yes,No,K
Software Business Analysis,Yes,Yes,K
SonarQube (New),Yes,No,K
Spelling (U.S.) (New),Yes,No,K
Split Screen Typing Test - Form 1,Yes,No,"A, K"
Spring (New),Yes,No,K
SQL (New),Yes,No,K
SQL Server (New),Yes,No,K
SQL Server Analysis Services (SSAS) (New),Yes,No,K
SQL Server Integration Services (SSIS) (New),Yes,No,K
SQL Server Reporting Services (SSRS) (New),Yes,No,K
Statistical Analysis System (New),Yes,No,K
Struts (New),Yes,No,K
SVAR - Spoken English (AUS),Yes,No,S
SVAR - Spoken English (Indian Accent) (New),Yes,No,S
SVAR - Spoken English (U.K.),Yes,No,S
SVAR - Spoken English (US) (New),Yes,No,S
SVAR - Spoken French (Canadian) (New),Yes,No,S
SVAR - Spoken French (European) (New),Yes,No,S
SVAR - Spoken Spanish (Castilian) (New),Yes,No,S
SVAR - Spoken Spanish (North American) (New),Yes,No,S
Swing (New),Yes,No,K
Tableau (New),Yes,No,K
Telecommunications Engineering (New),Yes,No,K
Teradata Development (New),Yes,No,K
Time Management (U.S.),Yes,Yes,K
Training Development,Yes,Yes,K
Typing (New),Yes,No,S
UiPath RPA Development (New),Yes,No,K
Universal Competency Framework Interview Guide,Yes,No,"C, P"
Universal Competency Framework Job profiling guide,Yes,No,"C, P"
Universal Competency Framework Profiler Cards (44),Yes,No,"C, P"
UNIX (New),Yes,No,K
VB.NET (New),Yes,No,K
Verify - Deductive Reasoning,Yes,Yes,A
Verify - Following Instructions,Yes,No,A
Verify - G+,Yes,Yes,A
Verify - General Ability Screen,Yes,Yes,A
Verify - Inductive Reasoning (2014),Yes,Yes,A
Verify - Numerical Ability,Yes,Yes,A
Verify - Technical Checking - Next Generation,Yes,No,A
Verify - Verbal Ability - Next Generation,Yes,Yes,A
Verify - Working with Information,Yes,No,A
Verify G+ - Ability Test Report,Yes,No,A
Verify G+ - Candidate Report,Yes,No,A
Verify Interactive Ability Report,Yes,No,A
Verify Interactive G+ Candidate Report,Yes,No,A
Verify Interactive G+ Report,Yes,No,A
Verify Interactive Process Monitoring,Yes,No,A
Virtual Assessment and Development Centers,Yes,No,P
Visual Basic for Applications (New),Yes,No,K
Visual Comparison - UK,Yes,No,K
Visual Comparison - US,Yes,No,K
VLSI and Embedded Systems (New),Yes,No,K
What Is The Value - US,Yes,Yes,K
Workplace Administration Skills (New),Yes,No,K
Workplace Health and Safety (New),Yes,No,K
WriteX - Email Writing (Customer Service) (New),Yes,No,S
WriteX - Email Writing (Managerial) (New),Yes,No,S
WriteX - Email Writing (Sales) (New),Yes,No,"B, S"
Written English v1,Yes,Yes,K
Written Spanish,Yes,Yes,K
Zabbix (New),Yes,No,K
360 Digital Report,Yes,No,D
360° Multi-Rater Feedback System (MFS),Yes,No,"D, P"
